dim,seed,model,sampler_type,selector,int_time,logstep_jitter,time,n_steps,miness,prop_log_diff,step_size,margin_ess_exact,margin_mean,margin_var
128,28,normal,SimpleAHMC,inverted,single_step,normal,0.44754594099999995,56241.0,307.21923035441995,0.4321265897285668,0.5092825606881844,477.0600058188816,-0.05536628414623385,0.9564611602932304
512,22,funnel,SimpleAHMC,standard,single_step,none,30.748055935,524600.0,134.53173939664904,NaN,0.12005785367063188,3419.789921413476,-0.6057127527722346,0.3185006497642416
128,26,normal,SimpleAHMC,inverted,single_step,none,0.416698053,27773.0,130.9328045316584,NaN,0.5276445299165191,334.4175855032045,-0.0012416577342284855,0.8990633267203916
16,28,banana,SimpleRWMH,standard,single_step,normal,1.268606498,645650.0,133.36734656258315,4.819440729683927,0.15189546502148543,2404.8984029684775,-0.36093621414579236,0.9507941928359662
2,19,funnel,SimpleAHMC,inverted,rand,none,2.816912186,182231.0,151.36082660487386,NaN,0.6802106576795849,298.80364535167206,0.03714793923574522,7.811908300762414
8,20,normal,SimpleAHMC,inverted,rand,none,0.3307757820000001,3801.0,118.8801182558455,NaN,0.8486731708921781,157.98114999462453,-0.06011064651169999,0.9425194754726671
8,19,banana,NUTS,standard,single_step,none,2.285653326,1039880,146.03484439686346,0.0,0.14865,3783.625364259999,0.16560461329304837,0.8084626830346635
32,26,normal,SimpleAHMC,inverted,single_step,normal,0.383198759,13851.0,123.16662033895065,0.39229919838745686,0.6528202620680115,177.21359055804604,0.15610908863059147,0.922288197381101
64,4,normal,SimpleAHMC,inverted,single_step,normal,0.4121492239999999,27929.0,200.79641779585458,0.3762297758753636,0.5744288850616815,293.6412400257721,0.014532470029434072,0.9745725133093468
64,3,normal,SimpleRWMH,standard,single_step,none,0.710626057,576563.0,151.01763188737087,NaN,0.21890714869786965,421.7193608992067,-0.04391849933699994,1.026300000779779
8,30,normal,SimpleRWMH,standard,single_step,normal,0.376749162,74165.0,117.84419733889494,4.872818975072263,0.7009200034549053,225.54962393340836,-0.02007302334408374,1.1292555087363059
512,29,normal,SimpleRWMH,inverted,single_step,none,2.2270663330000002,501337.0,135.3061057385425,NaN,0.04616609947464571,208.12038002386765,0.45018032374465244,1.084545573877065
512,16,banana,SimpleAHMC,inverted,single_step,normal,42.583051189,800803.0,138.38904993668643,2.557917105005808,0.04124278870701188,7543.604934973941,-0.5804818678851149,0.00389168347296588
32,10,banana,SimpleAHMC,inverted,single_step,none,5.906608061,631402.0,138.1059266955891,NaN,0.08408420331272229,1895.1065724891305,-1.0465634509149344,0.2716304704248023
2,23,funnel,SimpleRWMH,standard,single_step,none,0.4455494619999999,100812.0,144.06732924356672,NaN,1.4259426530487171,263.1649146474455,-0.5832921536841058,6.055097466746081
2048,24,normal,SimpleAHMC,inverted,rand,none,1.275156693,40612.0,147.4154354716628,NaN,0.2872779460187113,421.1829760252726,0.0784283702654508,0.9946107508803568
32768,6,normal,NUTS,standard,single_step,none,111.048355757,71830,479.40499115353276,0.0,0.115467,2181.541840573792,-0.02635764515,0.8850530284163123
8,19,normal,SimpleAHMC,standard,rand,none,0.31445736199999996,7832.0,156.82570905227206,NaN,0.9248619652480621,183.9906452265683,0.027715337198276534,1.0914713602859856
