seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
18,normal,SimpleAHMC,inverted,rand,2.0,0.04823773456485656,1.029216525035766,0.352595045,2.0,167028.0,33567.0,120.13638539946122,0.6050843503740627,0.6043928011741833,12,0.07742769911762266
27,funnel,SimpleAHMC,inverted,rand,adapt,-0.889622230169154,0.0,1.665727733,0.25,52.0,11.0,0.0,0.5029754251704439,0.3125,2,0.5003057230675556
27,funnel,SimpleAHMC,inverted,rand,adapt,-1.4338838580176099,0.01389470731461691,1.9196106880000001,0.25,116.0,23.0,0.0,0.3445137953013147,0.234375,3,0.20331203043859225
27,funnel,SimpleAHMC,inverted,rand,adapt,-1.3985417718610018,0.027807708155020292,1.9200511230000001,0.1875,384.0,82.0,0.0,0.7280338517730172,1.0400390625,4,0.05655902156285209
27,funnel,SimpleAHMC,inverted,rand,adapt,-1.4497210278836277,0.018485341331123503,1.920658264,0.18749999999999994,820.0,175.0,0.0,0.6395823151650446,0.6926822662353517,5,0.07403992758636342
27,funnel,SimpleAHMC,inverted,rand,adapt,-0.6642114453212019,0.21005673044386372,1.921699965,0.18750000000000003,1600.0,338.0,0.0,0.6351086906239077,1.3312487304210663,6,0.11618213482257451
27,funnel,SimpleAHMC,inverted,rand,adapt,-0.6288049177789055,0.4966193132135344,1.92357007,0.21874999999999997,3020.0,629.0,0.0,0.5232347643555356,0.744927268096944,7,0.17076206891961157
27,funnel,SimpleAHMC,inverted,rand,adapt,-0.13302936608514376,0.36703153439501984,1.926877668,0.12890625000000006,5496.0,1120.0,3.021281786872014,0.6623604198619643,0.7005517179466376,8,0.17448285094650268
27,funnel,SimpleAHMC,inverted,rand,adapt,-0.3240743034974951,0.4125089022362208,1.933613887,0.1328125000000002,10524.0,2121.0,6.464354679005405,0.6075938425127456,0.6167454821571231,9,0.1819395261854768
27,funnel,SimpleAHMC,inverted,rand,adapt,-1.3732069604524664,1.3242044522715373,1.949419297,0.09960937500000001,23444.0,4839.0,3.0660573428878646,0.6398924684989188,0.3431926611832576,10,0.1839217481750041
