seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
8,"banana(4,0.3)",MALA4.0,inverted,single_step,adapt,-0.14713063115910793,0.3614276551645311,4.593278078,0,1.57284e6,262140.0,137.17567416349823,0.08971565251343587,0.4329966980294121,16,0.05419924424158342
25,"banana(4,0.3)",MALA0.1,inverted,single_step,adapt,0.52820015414445,0.03835281900641918,4.182956484,0,1.57284e6,262140.0,139.29147174761857,0.9994897432428074,0.010824917450735303,16,0.001019375677649671
28,"banana(4,0.3)",HMC10.0,inverted,single_step,adapt,0.0059090472238520955,0.0023827558215024046,6.9308797470000005,0,3.145704e6,524284.0,280.1268213553522,1.0508214679180255e-5,0.8738166108027126,17,5.295198267527573e-6
12,mRNA,SimpleAHMC,inverted,rand,adapt,-0.4999999999991917,1.854009384093417e-24,1123.47091115,1.4811744689941437,4.3942068e7,1.0723375e7,101.80864925100035,0.38052336953414606,0.014254168274397032,17,3.8123504353392916e-11
14,"banana(4,0.3)",RWMH0.25,inverted,single_step,adapt,0.43329856198993905,0.1662880919772229,1.3517663500000001,0,1.048432e6,524280.0,134.06780870672918,0.9068121749980723,0.019241772166950822,16,0.1392007696472045
11,"banana(4,0.3)",HMC0.25,inverted,single_step,adapt,-0.27847071118826455,0.18179600518293826,4.470580400999999,0,1.57284e6,262140.0,136.93582077207952,0.9953311379066766,0.021845415270067815,16,0.00894106694067086
9,horseshoe_logit,HMC0.25,inverted,single_step,adapt,0.9312914648669695,0.16753264233380513,4650.650797283,0,8.5533977e7,4.179671e6,114.20383252333248,0.893538005324199,0.004773528723830259,20,0.04792587503877831
19,"banana(4,0.3)",RWMH4.0,inverted,single_step,adapt,0.6123633631745073,1.6548097611147097,1.349320294,0,1.048432e6,524280.0,132.50367340159067,0.064893107178794,0.30786835467121315,16,0.07110323061799806
25,"banana(4,0.3)",SimpleAHMC,inverted,single_step,adapt,0.27389309575878334,0.8440152780486027,5.554518251999999,0.08814239501953154,2.719036e6,548689.0,136.9232581383285,0.7017313879553642,0.046053869044860446,16,0.17419795409022462
16,horseshoe_logit,RWMH10.0,inverted,single_step,adapt,0.8579256213254273,0.06352711166090104,310.56644852599993,0,1.677704e7,8.3886e6,225.7681514449021,0.003527450307022332,0.16202325761796962,20,0.005323337449575624
21,"banana(4,0.3)",RWMH,inverted,single_step,adapt,-1.3888946610834108,1.210624335325365,1.342543638,0,1.048432e6,524280.0,132.02790227550997,0.21330435758688165,0.07696708866780329,16,0.18223498297962148
27,"banana(4,0.3)",SimpleAHMC,inverted,rand,adapt,0.13085568302593506,0.9111896031630656,5.264578556,0.09079742431640442,2.709804e6,546381.0,135.81888896368355,0.6975364727153586,0.06314373515506548,16,0.17565297256973034
23,mRNA,SimpleRWMH,inverted,single_step,adapt,-0.5000000000036484,8.351262996528322e-24,139.576721433,7.275016784668012,3.9107438e7,1.8931392e7,101.80864925110164,0.4540309614953642,13837.822438354964,17,2.2843125169202788e-9
6,"banana(4,0.3)",HMC0.1,inverted,single_step,adapt,1.2261716249142296,0.08188360818975,4.740228755,0,1.769448e6,262140.0,132.684243279718,0.9942611687086431,0.008738166108027126,16,0.01114979587820183
9,"banana(4,0.3)",SimpleAHMC,inverted,single_step,adapt,-0.6426766164696214,0.6259738792443917,5.856491623,0.09180450439453107,2.80832e6,571010.0,138.29036094444615,0.6805091653179685,0.04634906843404691,16,0.19537079486150183
20,"banana(4,0.3)",MALA4.0,inverted,single_step,adapt,-0.8839091593975653,0.26860578494892484,4.611543557,0,1.57284e6,262140.0,132.3890328439252,0.029524756335524656,0.4329966980294121,16,0.021557533487127193
13,horseshoe_logit,RWMH4.0,inverted,single_step,adapt,0.7918008763902884,0.059289563374595074,310.74726017,0,1.677704e7,8.3886e6,223.8056317676158,0.05930865418516765,0.06480930304718785,20,0.07108566348500338
30,horseshoe_logit,SimpleAHMC,inverted,single_step,adapt,0.698912669210182,0.04644743196946715,998.4775011600001,0.1111364364624018,3.1315332e7,6.780259e6,123.78950492767358,0.6674166844449055,0.008558392814552646,19,0.18168109364694707
29,"banana(4,0.3)",SimpleAHMC,inverted,rand,adapt,-1.3365427271971437,0.5547469878266083,5.525284438,0.106552124023438,2.907976e6,595924.0,132.02109259269167,0.6619138536124674,0.05422667680718563,16,0.18875821105501675
