dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
4,8,normal,1,AH_exp,237369.8565571413,236009.44049469384,4.784108e6,7.719674693542357,0.0029213131634468576,1.0018231341663661,1.114744535164931,0.16650303456006918,false
256,2,normal,1,AH_fix,418841.2265105914,421407.6139627339,8.428826e6,638.7722741971282,0.001963164961934768,0.9907397891926355,1.3796932950546648,0.04442419810475749,false
1024,13,normal,1,AH_unif,113863.38457099459,114917.22720711806,1.29976e7,1242.5685259375764,0.0006523328701543137,0.9907362780350907,1.7765473663081934,0.0036279268306796883,false
256,20,normal,1,AH_fix,418771.4137902015,416030.5152881593,8.430274e6,638.9951684847657,0.0035974399443878527,0.9960129285402854,1.1103773665020071,0.16976477079331873,false
16,9,normal,1,NUTS,527359.8348066178,528729.5916073993,3323798,43.44163727640021,-0.0006975124300738145,0.9969069879783004,0.7251581474030786,0.6690486651554473,false
32,3,normal,1,AM,111335.53449325841,111277.74439039618,7.802529e6,39.07424993502181,-0.003810915911952325,0.9973660118148264,1.137458489365713,0.15033310109950598,false
8,11,normal,1,AM,156283.62100648106,155161.7524230941,5.864271e6,11.79104324147457,-0.004826139000667726,1.0001221328679593,1.7172464975495814,0.005490566139531263,false
1024,13,normal,1,AH_fix,69915.90607452071,69392.05615039838,1.2346794e7,923.0253390876741,0.0038005691540098415,1.0055757559462084,1.6334440101239807,0.009627500894107256,false
64,2,normal,1,AH_exp,133546.91145271205,132773.56029595088,7.483242e6,83.16617910060634,-0.004828975268473363,0.9997723202605284,2.836846338900159,2.045921973035196e-7,false
128,7,normal,1,AH_exp,131711.07703087726,130217.87108944068,8.760252e6,175.39663789337095,-0.002592760481892874,1.009736446359338,1.724162711695044,0.0052353218811677545,false
128,16,normal,1,NUTS,282842.1482268653,279889.8021167541,3731944,290.62552962074204,-0.00038277361347385287,1.0104684452368993,1.2804637050479073,0.07531463326768827,false
256,16,normal,1,AM,95058.48695971566,94613.24614724534,1.3648177e7,263.8676907504603,0.003974466230436923,1.0017731198172497,0.9183618346662001,0.36788237805778523,false
32,12,normal,1,AH_fix,39459.620179744255,39232.95745743217,6.97947e6,15.842188274375829,-0.002988498715971133,1.005089833404731,1.7578188621480706,0.0041414590215499356,false
16,13,normal,1,AH_exp,139997.82196003478,138708.44438272816,6.236876e6,22.891018411636946,0.0022250719722270757,1.0079472789223602,1.4405908236219034,0.031509677053328716,false
2,8,normal,1,AH_unif,213788.1455743676,213630.08081849205,4.269784e6,3.7590197829723317,0.002920994764266985,0.9971671762552033,1.506141755685121,0.021412508399218984,false
128,15,normal,1,NUTS,374543.02889092336,372235.2819926218,5265004,311.2732718466372,0.0011663364896461865,1.0052121627390096,0.8295677716067758,0.4968685381032444,false
4,15,normal,1,NUTS,304491.4042803914,304191.3577807167,2049225,8.541712588698694,-0.0015836990952915208,0.9995088997765107,0.7075178135901297,0.6986865074321205,false
16,20,normal,1,AH_unif,112742.58579765307,113614.01987691183,5.702488e6,21.190766434534396,-0.0006776406230440191,0.9922276043970645,1.2599203311920064,0.08359894723274744,false
1024,11,normal,1,NUTS,449891.2171637783,448986.4489398011,7869462,2471.247219982922,0.0009291812653105161,1.0012612127988578,0.6574491884637723,0.7803851699144515,false
256,12,normal,1,AM,95536.38797490642,95340.42362330774,1.3646481e7,264.0555434843266,0.0027288119577445844,1.0006684022202716,0.6051683610538703,0.8573660971056755,false
256,8,normal,1,AH_exp,127190.48362335432,127291.29244917484,1.0050544e7,331.16885202757146,0.0039616568590327365,0.9953118977135005,1.220074501923662,0.10186075254939568,false
1024,12,normal,1,AH_unif,105212.61206040018,105531.45489237725,1.2901526e7,1241.881167453731,0.0032901704623084895,0.9947655182544797,1.6566412006390863,0.008264607606920441,false
64,3,normal,1,AH_exp,169650.53111529286,169132.335140169,7.520578e6,99.60890888659357,-0.0027090714247374574,1.000653551294982,1.129049931673137,0.15616577492749456,false
256,1,normal,1,AH_fix,409724.98714513204,412724.3963267572,8.416386e6,634.6196356156577,0.0011557494259198857,0.9916662204193061,1.0542146416606073,0.2163492455028731,false
256,9,normal,1,AH_fix,427683.7219347612,426909.75525996776,8.417426e6,637.5506167408122,0.0026519786403260393,0.9959592474847049,1.1437867148594592,0.14605983034786546,false
1024,1,normal,1,AH_fix,134058.11419190513,133297.21368586353,1.3503174e7,1425.3844654189481,0.002858879176465754,1.0035760492284316,2.0029670616846715,0.0006551758272106383,false
1024,17,normal,1,AH_fix,10216.162259833492,10043.70001675844,1.3678542e7,145.81381413721974,-0.0072209530464082535,1.0161326443682341,2.413129814258596,1.7501152529628167e-5,false
1024,8,normal,1,AM,101842.35702313374,101112.72350579912,2.3389994e7,1079.4317479595838,0.0029477472826771704,1.0054968961961492,1.1082218487016178,0.17139321022139098,false
1024,18,normal,1,AH_unif,124566.56221416232,122501.95253599665,1.29099e7,1236.1341854223997,-0.0040100531718619,1.012947957511705,2.091214006645515,0.00031808088167801623,false
32,15,normal,1,NUTS,619218.0335672527,612472.3311755554,3660012,90.51505838260123,0.002502311666113472,1.0034516597361725,0.7684649737735754,0.5961906990148523,false
32,18,normal,1,AH_unif,157869.85984842476,156449.81430023527,6.503394e6,47.04360287770772,-0.007809760518618845,0.9902892733384763,1.882461881152949,0.0016712585928154132,false
512,6,normal,1,AM,87724.39335265143,87912.27332325265,1.7537767e7,526.2991929767552,0.0007545100520219231,0.9977665581591627,0.6353293791544274,0.8143443479519257,false
1024,4,normal,1,NUTS,521186.1017190516,519872.638642841,7870392,2714.1911796826216,0.0009791223968175517,1.0015525148104671,0.4580523521137252,0.984706378281726,false
4,9,normal,1,AH_unif,175286.077984914,175778.1758959119,4.842276e6,6.674189887284306,0.004420778866477076,0.9905134804059079,1.4425496262258832,0.0311557815314088,false
32,8,normal,1,AH_fix,1984.3816958742925,1951.220768937465,7.191702e6,0.5911134946822704,-0.024080286259982223,1.0147516853563647,7.47316940155622,6.192227821917366e-49,false
32,16,normal,1,AH_exp,168173.4766433271,166920.44797228032,6.676096e6,49.52968169606423,0.002729270365330667,1.0050515207548294,1.1145065626584483,0.16667948087033085,false
