seed,model,sampler_type,selector,int_time,logstep_jitter,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,acceptance_prob,step_size,n_rounds,energy_jump_dist
6,mRNA,SimpleAHMC,inverted,single_step,adapt,-0.0986103695228329,0.044013231815338574,295.056788556,0.16127777099609367,7.583076e6,1.764699e6,131.25929064629472,0.6173151083528258,0.0015379777929425758,16,0.17857746005709393
2,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.1625501483786698,0.0011683837433970857,23.332233991,0,3.210011e6,1.60758e6,162.2120626549506,1.0,10.0,16,0.4970533872873758
6,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.16066865777328418,0.0013583642542329116,22.834135721000003,0,3.386966e6,1.662726e6,168.11934856211846,1.0,10.0,16,0.5032471510236552
23,mRNA,SimpleRWMH,inverted,single_step,adapt,0.1737094251593016,0.000864339223566846,43.917293765000004,0.3451538085937595,5.069182e6,2.462249e6,267.81702495847514,0.47152788141957297,0.05038145857960634,17,0.14322290814459282
13,mRNA,SimpleRWMH,inverted,single_step,adapt,0.1938173500663266,0.000638248960963542,78.98193295300001,0.5085315704345612,1.0085521e7,5.079805e6,359.74621585772155,0.3520907193205218,0.002245413346755988,18,0.16922114638955923
5,mRNA,SimpleAHMC,inverted,rand,adapt,0.1598389210413794,0.0008274834631041776,242.98639425599998,0.1006469726562501,5.488708e6,1.6347e6,151.3821576111886,0.6983973787927952,0.026308046865411095,16,0.1672933074419214
11,mRNA,SimpleAHMC,inverted,single_step,adapt,-1.275897888366231,0.0034817225278736237,186.26809545,0.11968231201171865,4.852764e6,1.082121e6,132.05578335478157,0.6906584880278418,0.03237141960557198,16,0.12527304978995651
8,mRNA,SimpleAHMC,inverted,rand,adapt,-0.11774544146567573,0.33365622612069246,212.320752453,0.09963989257812587,4.893803e6,1.424747e6,131.6517333121078,0.7241456109309535,0.014808847905000868,16,0.1344175115120238
19,mRNA,SimpleRWMH,inverted,single_step,adapt,-0.0052597966554684475,0.01992460093282331,450.745855425,0.0,6.934905e7,3.4711529e7,260.71881621220996,0.7331532526017294,7.260405126067756e-7,21,0.6229705233813156
26,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.1623793824712277,0.0013865571331250445,22.124559335,0,3.364473e6,1.609387e6,157.82915594338087,1.0,10.0,16,0.49312175724953267
15,mRNA,SimpleAHMC,inverted,single_step,adapt,0.189642778241465,0.0006835643262746842,451.368313659,0.13637924194335788,1.1976116e7,2.731887e6,127.5438968275824,0.6626183088815129,0.010375981321467222,17,0.11995077599020512
7,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.16250312901814548,0.0011592962393010453,23.093462518000003,0,3.361473e6,1.651355e6,178.96900032541765,1.0,10.0,16,0.498448995159861
16,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.15505380659124546,0.001699803331602301,22.967094491,0,3.170831e6,1.56896e6,156.6503782818041,1.0,10.0,16,0.5044665208828886
22,mRNA,SimpleAHMC,inverted,rand,adapt,-1.0162180620786396,1.7224419365903032e-15,343.532653771,0.34401702880859303,7.459194e6,2.536821e6,131.28155768303094,0.3753663961715647,1.4998394048086068e-7,16,0.4261067338520693
18,mRNA,SimpleAHMC,inverted,rand,adapt,0.14190700348894852,0.0026631178526034718,189.789666942,0.10965728759765675,4.604368e6,1.099611e6,133.5206828382167,0.6880107935208652,0.026320475144068895,16,0.15621348895828366
12,mRNA,SimpleAHMC,inverted,single_step,adapt,0.15420666731302815,0.0014233040100382936,197.08690300799998,0.11285400390624893,4.917908e6,1.098407e6,135.32674278263406,0.6837609496537269,0.05350170202513286,16,0.15633361180303892
9,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.157145097352769,0.0016105477975393054,22.551110614000002,0,3.311465e6,1.608848e6,142.61765638960503,1.0,10.0,16,0.5004322218874396
18,mRNA,SimpleAHMC,inverted,single_step,adapt,0.16575641210910358,0.0011051243258083912,1742.808531265,0.13309574127197507,4.5872812e7,1.0419629e7,741.9218696887438,0.6690008124763431,0.049305419362634474,19,0.11961022942856586
14,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.16435675820322287,0.001143458234515164,22.368560662,0,3.082345e6,1.552712e6,183.49907799604597,1.0,10.0,16,0.49996354189669256
29,mRNA,SimpleAHMC,inverted,rand,adapt,0.3238179453300924,0.039574042550248455,1230.264119506,0.1558637619018537,3.4940876e7,7.68994e6,116.19208673749242,0.6113998811216788,0.0028090315706135725,19,0.17272556971897576
11,mRNA,SimpleAHMC,inverted,rand,adapt,0.15328521249763957,0.013551220591590071,207.216780986,0.13426208496093642,5.203491e6,1.193991e6,133.77432791033817,0.6696414108650763,0.060890537244607155,16,0.1278240846460579
12,mRNA,SimpleAHMC,inverted,rand,adapt,0.19441496495970986,0.000525611522537626,153.936955762,0.13409423828124611,3.972346e6,886664.0,131.43402375534046,0.6266008435173392,0.00164855695545158,16,0.1861259889518842
16,mRNA,SimpleAHMC,inverted,rand,adapt,0.16643107138957533,0.0009968383354850038,192.725265401,0.11581420898437488,4.610127e6,1.115678e6,133.85492647905988,0.6860764523179835,0.02903359229564538,16,0.14767635762054473
17,mRNA,SimpleRWMH,inverted,single_step,adapt,0.20222489026703833,0.0005723409418224137,19.07784273,0.515846252441396,2.497536e6,1.253299e6,133.00126575555245,0.3415994313675934,0.0028102188493660065,16,0.16099175130121182
10,mRNA,SimpleAHMC,inverted,single_step,adapt,0.15414902379841816,0.0011224187610116333,185.512173895,0.10375976562499907,4.570128e6,1.011462e6,136.30431168375307,0.6961040802573524,0.03182066787450179,16,0.1657140308797697
19,mRNA,SimpleAHMC,inverted,single_step,adapt,0.14111196639803603,0.0012794825709512476,193.86578299899998,0.12411499023437576,5.060816e6,1.134134e6,134.09908695127424,0.6398666600030349,0.009215133740655999,16,0.18259377324436646
26,mRNA,SimpleAHMC,inverted,single_step,adapt,0.15870221792573153,0.0008978294759602454,217.23031081000002,0.12125396728515475,5.6312e6,1.27673e6,141.19072939005972,0.6789925603965734,0.03442125980714948,16,0.14079216605115438
5,mRNA,SimpleRWMH,inverted,single_step,adapt,0.10848253635989016,0.045767775414494054,284.63125887,0.20694589614868172,4.8082685e7,2.333477e7,686.0193261536026,0.5745277932775672,0.012814296951154101,20,0.1766141971003283
27,mRNA,SimpleAHMC,inverted,single_step,adapt,0.15897537264688313,0.001325135509753936,3292.0251774500002,0.1252179145813008,8.50946e7,1.91765e7,1091.5257483352048,0.6811004103831503,0.02554487842793352,20,0.12135448834260874
8,mRNA,HitAndRunSlicer,inverted,single_step,adapt,0.1639928059603165,0.00120195504508627,23.295091588,0,3.286897e6,1.65932e6,182.82810999433184,1.0,10.0,16,0.4996678994706092
2,mRNA,SimpleAHMC,inverted,rand,adapt,0.2753219823936094,0.026308926496496535,272.148234039,0.14204406738281228,7.38268e6,1.583528e6,122.08694392735045,0.62710907076431,0.004480971788306353,17,0.1699932633195359
30,mRNA,SimpleRWMH,inverted,single_step,adapt,0.19488369132894096,0.000571069493604793,353.866268074,0.5124311447143575,5.3614964e7,2.8622978e7,110.51372611024152,0.2785956252813613,0.0022884398975154207,20,0.11187467083692806
